case_id,company,application_round,matched_treated_company,fact_n,unique_url_n,pre_or_contemporaneous_n,post_adoption_n,undated_n,score_total,demand,capacity_constraint,business_transformation,regional_supply_chain,policy_fit,execution_finance,crisis_or_succession,external_validation,plausible_reason,counterevidence,confidence,research_gaps
s1_outline__207,株式会社ジェイ・イー・ティ,1次,千寿製薬株式会社,4,4,2,1,1,21,3,3,3,2,3,3,1,3,顧客増産要請と設備・研究開発上の制約が具体的で、単なる売上目標ではなく、国内先端半導体供給網の設備ボトルネック解消として説明できる。上場企業としての資金調達力、既存の海外販売・受注実績、カスタム装置の技術蓄積も、大型投資の実行確度を補強した可能性が高い。,売上・受注は中国を含む少数の半導体顧客と設備投資循環に左右されやすく、受注延期・取消しのリスクがある。Rapidus案件は採択後に確認された事実であり、これを採択理由として逆算してはならない。顧客別の確約数量や新工場稼働率は公開資料から確認できない。,High,申請時点の顧客内示・長期契約、自己資金と借入の構成、既存工場の設備別稼働率、回次不一致の最終確認。
s1_outline__179,アサヒセイレン中部株式会社,1次,株式会社オティックスホールディングス,5,5,2,2,1,19,2,2,3,3,3,3,0,3,"アルミスクラップを自動車・圧延用途の二次合金へ戻す国内循環拠点は、資源循環、GX、輸入依存低減及び自動車供給網強靱化を同時に説明できる。既存月3,000トン操業、独自ドロス再資源化、共同申請、銀行確認に加え、採択後の6.7ha用地取得が実行力を間接的に裏付ける。",用地取得は採択後で、申請時に売買予約や許認可がどこまで進んでいたか不明である。公開PDFの新設北陸会社と、愛知県が公表した中部会社の新工場との対象範囲が完全に一致するか確認を要する。廃棄物・大気排出、巨額投資、原料確保のリスクも大きい。,Medium,富山側拠点と愛知側新工場の関係、北陸新会社の設立・法人番号、原料供給契約、顧客オフテイク、環境アセス・炉許可、補助対象資産の所在は未確認。
s1_outline_87,トーカロ株式会社,1次,株式会社松尾製作所,4,4,2,1,1,19,3,3,2,2,3,3,0,3,半導体装置メーカーからの需要増に対する供給能力増強であり、既存技術・顧客・用地・建設工程が揃っている。国内半導体製造基盤の強靱化という政策適合性と、上場企業・国内首位事業者としての実行力が評価されやすい案件である。,主要顧客への依存と半導体設備投資サイクルへの感応度が高く、需要が後ずれすれば新工場の稼働率が低下する。公開資料では顧客の拘束力ある購入契約や採択審査で用いられた受注見通しを確認できない。,High,顧客別内示数量、工場別稼働率、北九州と鈴身への能力配分、補助金を除く投資回収計画。
s1_outline_141,共栄フード株式会社,2次,株式会社ホテルニューアワジ,4,4,2,1,1,17,3,3,2,2,2,3,0,2,競合撤退で生じた供給余地と既存顧客からの引合いを、国内最大級の自動化工場で取り込む計画である。長年の海外工場運営と業務用パン粉の販路があり、設備を作ってから市場を探す案件ではなく、既存市場で供給制約を解く投資として評価しやすい。,パン粉市場は成熟分野であり、国内需要が長期に拡大し続けるとは限らない。顧客名・購入確約量は公開されず、2万3300トンの新能力をどの程度埋められるかは検証できない。原材料・エネルギー価格と価格転嫁も収益性を左右する。,Medium,競合撤退による具体的な需要移管量、顧客別契約、既存工場の稼働率、輸出先別需要と物流費。
s1_outline_174,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,2次,浦島観光ホテル株式会社,4,3,3,1,0,20,2,2,3,3,3,3,2,2,長期閉鎖された港湾ホテルの再生、MICE受入能力の新設、既存建物活用、離島航路の玄関口活性化を一体で説明できる。既に那覇でホテルを立ち上げた運営会社と泊ふ頭開発の役割分担が申請前から存在し、単独の新規参入より実行確度が高いと評価された可能性がある。,MICE・観光需要は外部ショックに弱く、ホテル収益は稼働率と単価に依存する。公開資料では予約・送客契約を確認できず、現在の開業予定は当初工程より遅れている可能性がある。若い現地法人の財務余力はグループ支援に依存する。,Medium,建物所有・賃貸・投資負担の契約条件、MICE送客契約、資金保証、工期変更の理由、回次不一致の最終確認。
s2_outline_5,奥長良川名水株式会社,3次,ときわ製作所株式会社,4,4,4,0,0,21,3,3,2,3,3,3,1,3,受注残と老朽設備という明確な供給制約があり、複数自治体との災害時協定、長期保存という防災政策、既存HACCP認定が需要・品質・社会的必要性を同時に補強する。小規模企業でも、投資対象と売上化経路が単純で説明しやすい。,自治体協定は必ずしも最低購入量を保証せず、公開調達の数量も新工場の増産規模に比べ小さい可能性がある。OEM受注残の顧客別数量、価格、継続年数は確認できず、大幅な売上目標の全てを外部根拠で裏付けられない。,High,OEM顧客との契約、受注残数量、設備別稼働率、自治体・企業備蓄向け売上構成、原水と物流の上限。
s2_outline_13,フジセイコー株式会社,3次,八戸酒造株式会社,4,4,1,1,2,16,2,3,2,2,3,2,0,2,国内半導体装置供給網で必要な難削材加工を、既存の一貫加工技術を基礎に増強する案件である。形状加工・研磨の2.5倍化、排水処理、自動化という制約と解決策が明確で、政策適合性も高い。,外部資料では顧客名、発注書、引合い数量を確認できず、需要の具体性は補助事業PDFへの依存が大きい。半導体市況の変動、小規模企業の採用・立上げ能力、2.5倍の能力を埋める受注確度には不確実性が残る。,Medium,主要顧客と用途、受注残、既存工程別稼働率、排水許認可、自己資金・借入、採用充足率。
s2_outline_78,株式会社宮古島の雪塩,3次,山崎商事運輸株式会社,4,4,4,0,0,23,3,3,3,3,3,3,2,3,既に大ヒットと高収益化が確認された商品を、県外OEMから宮古島内製へ移す案件である。市場性、製造パートナー、工場規模、地域内付加価値、雇用、観光ブランドが一つの因果鎖になっており、数字が弱くても評価される定性要因というより、定量・定性双方が強い対照例である。,土産菓子は観光客数とヒット商品の持続性に左右され、島内製造は人材、原材料、物流、台風等のコスト・BCPリスクを負う。2023年の急成長が平常成長率として継続する保証はなく、新工場の損益分岐点や寿製菓との契約条件は非公開である。,High,雪塩さんどの販売数量・粗利、OEM契約と技術移管条件、工場稼働率、島内採用計画、原材料・完成品物流費。
s2_outline_68,三友プラントサービス株式会社,3次,株式会社シュゼット・ホールディングス,4,4,4,0,0,22,2,3,3,3,3,3,2,3,老朽設備更新だけでなく、地域の処理能力不足、特殊廃棄物・PFAS対応、関東事業の集約、事業承継を一体化した社会インフラ案件である。環境影響評価を数年前から進め、NEDO事業の実績もあるため、許認可・技術・運営面の実行確度が高いと評価された可能性がある。,処理能力5倍は大きく、公開資料だけでは長期搬入契約と稼働率を確認できない。環境・都市計画・廃棄物処理許可の遅延、住民対応、建設費上振れが主要リスクである。NEDOのSAF実証は別事業であり、新焼却炉需要の直接証拠ではない。,High,排出事業者との搬入契約、廃棄物種別数量、最終許認可、住民意見と対応、設備建設費、PFAS処理の商用実績。
s2_outline_47,INTLOOP株式会社,3次,株式会社モリシタ,4,4,4,0,0,19,3,2,3,2,3,3,0,3,既存の顧客500社規模、4万人超のプロ人材、急成長する売上、十分な現預金を持つ企業が、労働集約的な人材マッチング・コンサルからAIエージェントを備えた反復可能なプラットフォームへ転換する案件である。労働力不足と地方・中小企業DXという政策課題に直結し、外部技術パートナーも既に存在する。,AIエージェント市場は技術・競争・収益モデルの不確実性が高く、5万人の登録者がそのままデータ品質やAI優位性を保証しない。2024年には営業戦力化の遅れで業績予想を下方修正しており、1000億円売上目標は野心的である。提携やPoCは継続収益・顧客定着の証拠ではない。,High,AI製品別の有料顧客、ARR・解約率、データ利用同意と権利処理、モデル開発内製比率、補助対象15億円の費目とマイルストーン。
