source_id,source_type,location,use,important_limit
local_cases,local,data/processed/cases.csv,381件の公開企業PDF抽出値・品質フラグ・企業属性,採択・交付企業だけを収録し不採択企業の個票はない
official_benchmarks,local,data/reference/official_round_benchmarks.csv,1～5次の申請者全体・採択者の公式代表値,企業別公式値ではなく集計値
case_reassessment,local,analysis/round6_reassessment/case_level_reassessment.csv,企業別9指標と同回公式代表値の比較,No.8・10・13・14などは公開値からの近似を含む
qualitative_reference,local,analysis/round6_reassessment/focused_qualitative_review_44.csv,既存44件の目視定性コーディング,無作為標本ではなく採択企業内の比較用標本
text_profiles,local,analysis/adoption_drivers/application_profiles.csv,381件の公開PDFテキスト特徴,語句密度は文章の質や審査得点を直接測らない
theme_diagnostics,local,analysis/adoption_drivers/company_diagnostics.csv,公開PDFのテーマ語句・追加効果指標,キーワード法であり意味理解には限界がある
financial_confirmations,local,analysis/adoption_drivers/external_financial_confirmations.csv,3～5次採択一覧に掲載された金融機関確認書の有無,非採択企業の提出率がなく因果効果は推定できない
first_round_review,official,https://seichotoushi-hojo.jp/1_2ji/information/2024/05/28.html,1次の審査5項目と相対評価の説明,採択点・配点・企業別評価は非公表
fourth_guideline,official,https://seichotoushi-hojo.jp/assets/pdf/outline_4ji.pdf,4次の審査方法・5審査項目・加点措置,3次以前と細部が異なるため全回へそのまま遡及しない
sixth_home,official,https://chukentou-seichotoushi-hojo.jp/,6次の公募時期・基本要件,公募開始前は変更される可能性がある
sixth_guideline,official,https://chukentou-seichotoushi-hojo.jp/assets/documents/common/youryou_6ji.pdf,6次事前公開版の審査基準・加点措置・提出書類,正式版では審査項目等が更新される可能性がある
round1_result,official,https://seichotoushi-hojo.jp/1_2ji/information/2024/06/21.html,1次の申請・一次通過・採択件数,企業PDFレコード数とは単位が異なる
round3_result,official,https://seichotoushi-hojo.jp/information/2025/06/30.html,3次の申請・一次通過・採択件数,企業PDFレコード数とは単位が異なる
round4_result,official,https://seichotoushi-hojo.jp/information/2025/10/10.html,4次の申請・一次通過・採択件数,企業PDFレコード数とは単位が異なる
round1_list,official,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,1次採択企業の法人名と申請公募回の確定,企業名を照合し旧社名2件だけは法人番号で確認
round2_list_main,official,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,2次採択企業の法人名と申請公募回の確定,追加採択一覧を別資料として併合
round2_list_additional,official,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,2次追加採択企業の法人名と申請公募回の確定,本体一覧と重複を除いて併合
application_round_crosswalk,local,analysis/applicant_median_residual/application_round_crosswalk_1_2.csv,1・2次181レコードの保存回次と申請公募回の固定対応,公式一覧の企業名照合と旧社名2件の法人番号確認に基づき元cases.csvは変更していない
