"source_id","category","title","url","use_in_analysis","caution"
"S01","審査基準","第6次公募要領・事前公開版","https://chukentou-seichotoushi-hojo.jp/assets/documents/common/youryou_6ji.pdf","第6次の審査基準、加点、プレゼン、実現可能性を確認","公募開始時に更新予定。最終版ではない"
"S02","政策評価","令和7年度行政事業レビュー公開プロセス資料","https://www.meti.go.jp/information_2/publicoffer/review2025/kokai/0606_3gaiyo.pdf","申請者アンケート、RIETI効果分析、税収効果、今後のEBPM計画を確認","採択理由の個社得点は公開されていない"
"S03","法人統合","GビズインフォAPI","https://content.info.gbiz.go.jp/api/index.html","法人基本、認定、補助金、調達、特許、財務、職場情報の統合","APIトークン申請が必要。収録遅延と名寄せに注意"
"S04","法人番号","国税庁法人番号システムWeb-API","https://www.houjin-bangou.nta.go.jp/webapi/index.html","法人番号による名寄せ、商号・所在地変更の確認","同名法人を法人番号で分離する"
"S05","開示資料","EDINET API","https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/WEEK0060.html","上場企業等の有報、財務、リスク、設備投資を取得","非上場企業の多くは対象外"
"S06","知財","J-PlatPat","https://www.j-platpat.inpit.go.jp/","特許、実用新案、意匠、商標、共同出願を確認","企業名表記揺れと権利移転に注意"
"S07","地域経済","RESAS","https://resas.go.jp/","産業、人口、観光、地域経済、企業活動の外部環境を確認","企業別採択理由の直接証拠ではない"
"S08","過去時点","国立国会図書館WARP","https://warp.ndl.go.jp/","採択前ウェブページの存在と内容を時点確認","収集対象・保存間隔に制約がある"
"S09","政策認定","地域未来牽引企業","https://www.meti.go.jp/policy/sme_chiiki/chiiki_kenin_kigyou/","地域経済の中心的担い手としての選定を照合","選定時点・企業再編・有効期間を確認"
"S10","政策認定","パートナーシップ構築宣言ポータル","https://www.biz-partnership.jp/","宣言登録と宣言本文を照合","登録日が申請締切以前か確認"
"S11","政策認定","地域経済牽引事業計画PR資料","https://www.meti.go.jp/policy/sme_chiiki/miraitoushi/chiiki_keninjigyoukeikaku.html","承認計画と地域波及の内容を照合","公表希望企業のみ掲載される"
"S12","雇用認定","えるぼし認定企業一覧","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000129028.html","女性活躍認定と認定時点を照合","非掲載希望企業がある"
"S13","雇用認定","くるみん等認定企業一覧","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kodomo/kodomo_kosodate/jisedai/kijuntekigou/index.html","子育て支援認定と認定時点を照合","公表同意企業のみ掲載される"
"S14","情報公開","経済産業省情報公開制度","https://www.meti.go.jp/intro/consult/disclosure/data/a012100j.html","匿名集計、審査運用資料等の開示可能性を確認","個社申請・審査情報は不開示となる可能性が高い"
"S15","不採択理由","1次公募 書面審査の不採択理由の詳細の情報開示","https://seichotoushi-hojo.jp/1_2ji/information/2024/05/28.html","不採択企業本人が総合・項目別の相対順位を取得できることを確認","第三者は取得できない。企業の同意を得た共同収集が必要"
"S16","採択一覧","1次公募 採択案件一覧","https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf","共同申請、計画名、金融機関確認書の有無を照合","一覧記載の金融機関は確認書提出企業のみ"
"S17","採択一覧","2次公募 採択案件一覧","https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf","共同申請、計画名、金融機関確認書の有無を照合","追加採択30件の別扱いに注意"
"S18","採択一覧","3次公募 採択案件一覧","https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf","共同申請、計画名、金融機関確認書の有無を照合","一覧記載の金融機関は確認書提出企業のみ"
"S19","採択一覧","4次公募 採択案件一覧","https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf","共同申請、計画名、金融機関確認書の有無を照合","一覧記載の金融機関は確認書提出企業のみ"
"S20","2次特殊事情","2次公募の追加採択を含めた採択者について","https://seichotoushi-hojo.jp/1_2ji/information/2024/11/07.html","当初不通過者から年度内交付申請分を対象に30件追加採択した事実を確認","通常採択55件と追加採択30件を混同しない"
