pair_id,lower_demand,lower_constraint,lower_transformation,lower_regional,lower_execution,lower_strategic,lower_evidence,higher_demand,higher_constraint,higher_transformation,higher_regional,higher_execution,higher_strategic,higher_evidence,pair_interpretation,coding_confidence
L01,2,2,1,1,3,3,"半導体メーカーの複数年増産要請、AI/HBM向けクリーンルーム、約2万㎡の用地と150人規模工場",1,2,3,1,3,2,"6倉庫の集約、工場・R&D・ERPの一体整備、用地契約済み","低数値側は戦略分野の具体需要と着工準備、高数値側は全社変革と実行確度が強い",high
L02,2,3,2,2,2,1,"海外・高級車向け鍛造ホイール需要、能力1.2～1.5倍、富山の生産集積",3,3,3,2,3,3,"OEM増産要請と引合い、既存9ラインの能力限界、GX型工程転換、用地・FSSC","高数値側は需要・制約・変革・実行が一貫し、採択案件の典型的な強い物語",high
L03,3,2,3,2,2,3,"医療向け受注増、国産オリジナル医療機器、国内供給と経済安全保障",1,1,3,1,2,2,"ERP・PLMによるデータ駆動経営、半導体・航空宇宙への展開","低数値側でも顧客需要と政策的重要性が明確なら採択され得る反例",high
L04,2,3,2,1,1,2,"漢方OEMの能力逼迫、需要増に対する自動化投資",3,2,1,1,3,3,"主要半導体装置メーカーの需要、隣接用地取得、新工場・R&D整備","高数値側は実名顧客に近い需要と取得済み用地、低側は能力制約が補完",high
L05,1,2,3,3,3,1,"国産ウイスキー・輸出・観光の複合化、用地取得、地域原料調達",2,1,3,1,3,3,"PLM/SCM/ERP導入、半導体上位顧客、製造から設計・サービスへの転換","両社とも構造転換と実行確度が強く、数値差だけで案件品質を説明できない",high
L06,2,3,3,3,1,1,"物流サービス統合、倉庫・人手制約、災害対応を含む地域物流基盤",3,2,3,3,2,3,"素材メーカーとの連携・受入要請、資源循環施設、地域の代替困難性","非製造業では地域インフラ性とサービス統合が弱い公開数値を補う",high
L07,2,3,2,3,2,1,"物流能力の限界、保管能力2倍、地域雇用の維持",3,2,2,2,1,3,"事業提携先からの要請、リユース・資源循環需要","低側は明確な能力制約、高側は顧客要請と循環政策への整合が優位",high
L08,2,1,3,1,3,2,"食品保管への転換、アサヒロジとの連携、場所・工期を明示",3,3,3,2,3,2,"150社の荷主、増加する需要、センター不足、運送から3PLへの転換","高数値側は顧客基盤・能力制約・事業モデル転換が一本の因果でつながる",high
L09,1,3,3,3,2,2,"能力330トン×3から1800トン、地域に同業不在、災害時供給",3,3,2,3,3,3,"国内シェア70%、顧客増産要請、月880から1260トン、設備を特定","低側でも代替困難な地域供給と定量的能力増強が強い採択根拠になる",high
L10,2,3,3,3,3,2,"国内回帰・知財、リードタイムと検査制約、工場・設備を具体化",2,3,2,1,3,3,"能力40%増、クリーンルームとパイロット、半導体技術","両社とも能力制約と実行確度が強く、低側は国内回帰と地域性で補完",high
L11,1,3,2,0,1,2,"3m幅塗工と能力1.3倍、ポートフォリオ転換だが顧客需要は一般論",1,2,3,0,1,2,"新商品・海外展開と高付加価値化だが需要・実行の具体性は限定的","公開数値が大きくても公開文章の質が必ず高いわけではない対照例",medium
L12,2,2,2,3,1,2,"顧客ニーズ、小松大阪向けブラケット80%シェア、国内供給網",2,2,3,1,3,3,"独自の粒子制御コーティング、全自動ライン、半導体用途","低側は特定取引先内の重要性と供給網、高側は独自技術と実行設計",high
L13,3,3,3,3,2,2,"既存顧客の引合い、能力限界、冷凍豆腐輸出、地元大豆・港湾・雇用",1,3,1,3,2,2,"日産40万から60万パック、11人から1人、163人雇用、農業供給網","低数値側の方が需要根拠と変革性が強く、数値順位と文章品質が逆転",high
L14,3,2,3,2,2,3,"エフピコの要請、PET循環、素材から製品までの一貫化",1,3,3,2,3,3,"実証済み、25MW工場、次世代CIGSとエネルギー安全保障","低側は実名顧客、高側は実証・政策戦略性で異なる採択ロジック",high
L15,2,3,3,3,2,2,"IQF導入、人手不足、AIウォーターカッター、食品産地の雇用",3,3,2,3,3,2,"受注増加、2027年の能力不足、3万から7万食、用地取得","高側は将来需要と能力不足の時点・数量が明確、低側は省人化と地域性",high
L16,2,3,2,1,2,3,"医薬品不足・規制対応、保管ボトルネック、新製剤棟",2,2,1,2,2,3,"大規模ガス供給能力、半導体供給と経済安全保障","医薬・半導体など政策的重要分野では供給制約の解消自体が強い",high
L17,1,2,3,2,2,3,"素材から衛生用品・OEMへの展開、戦略提携",2,3,2,3,2,3,"工場制約、能力2倍、国内生産と経済安全保障","低側はバリューチェーン転換、高側は能力制約と地域供給網が明確",high
L18,2,3,3,2,2,2,"20%外注の内製化、供給業者の事業承継問題",1,2,3,1,2,3,"医療食・OTCの海外展開、ジェネリック医薬品","低側は外注制約と供給網の脆弱性を事業変革に結び付けている",high
L19,1,3,2,3,2,2,"能力・設備老朽化、新しいチルドカップ、地域酪農供給網",3,3,3,2,3,3,"大手製薬の引合い、能力限界、バッチ2～4倍・能力10倍、15か国","高側は需要・制約・能力増分・海外展開を定量化した完成度の高い案件",high
L20,3,3,2,3,2,3,"5～6年先までの受注、増産要請、リードタイム4分の1、戦略タンク",2,3,3,3,3,2,"日産7万個の限界、OEM・賞味期限延長、FSSC、地域コンソーシアム","低数値側でも受注残と顧客要請を具体化できれば非常に強い",high
L21,3,3,3,2,2,3,"複数医療機器メーカーからの要請、能力2倍、2工場体制",2,2,2,3,3,3,"SUBARU・BEVライン、1230億円投資との連動、地域自動車集積","低側は複数顧客要請、高側はアンカー企業投資との地域連動が強い",high
L22,2,3,3,3,3,3,"用地・能力限界、ヨーグルト国内シェア30%、酪農供給網、AI・ロボット",2,3,3,1,2,2,"189億円規模の能力増、工程ボトルネック、米国輸出","低側は市場地位・地域供給・実行設計がそろい、数値差を補完",high
L23,2,2,3,1,2,2,"大手製パン会社、海外向けフィリング、多品種自動化",2,2,3,2,3,2,"包装外注化需要、専門包装、ISO・特許・人材育成","両社とも需要は具体的だが、実行準備と独自資産が差別化要素",high
L24,3,3,2,3,2,2,"増産要請、能力2倍超、2から4ライン、地域酪農供給網",2,3,3,2,2,2,"既存工場がフル稼働、輸出向け冷凍品、新工場","低数値側は増産要請と能力増分の明示で、数値劣後を説明可能",high
L25,1,3,3,1,3,3,"再生砂の処理制約、完全3R、設備計画を具体化",3,3,3,3,3,3,"自治体・TSMC需要、AI選別、災害・廃棄物対応","高側は顧客・地域・政策・実行の全要素が強いが、低側も循環制約が明確",high
L26,1,2,3,3,3,2,"4サービス統合、地域コールドチェーン、用地・設備・特許",2,3,3,3,2,2,"冷蔵保管率100%超、食品供給プラットフォーム、24バース","物流案件では地域供給網と能力制約が採択物語の中心",high
L27,1,3,2,2,3,3,"断熱規制需要、能力限界、投資額・ラインを具体化",3,3,3,3,3,3,"実名A/B/C社の受注、5工場統合、ODM化、FSSC、自治体・雇用","高側は実名受注・統合・ODM化がそろう代表例、低側は規制需要で補う",high
L28,1,3,3,2,2,3,"能力200%、一貫ライン、AIデータセンター用途",3,3,3,3,3,3,"航空会社・小売需要、製氷不足、輸出、生活インフラとしての氷","高側は複数の具体顧客と地域必需性、低側は戦略需要と能力制約",high
L29,1,3,3,3,2,2,"垂直統合D2Cペットフード、能力ボトルネック、地域雇用",2,3,3,2,2,3,"貴金属リサイクル、新元素、半導体・水素、資源安全保障","低側は事業モデル転換と地域、高側は戦略資源循環が採択根拠",high
