no,metric,unit,statistic,fifth_all_applicants,fifth_accepted,sixth_official_floor,practical_competitive_target,stretch_target,consulting_use,caution
1,全社年平均売上高成長率,%/年,中央値,20,21,なし,21%以上,25%以上（受注・能力の積上げがある場合）,会社全体が投資後も成長軌道に入ることを示す,1ポイント差しかなく単独の判別力は弱い。過去実績と整合させる。
2,全社売上高増加額,億円,中央値,67.1,82.4,なし,82.4以上,100以上,投資の絶対的な経済効果を示す,企業規模の影響が大きいので、補助事業増加額・費用対効果と併記する。
3,全社賃上げ予定率,%/年,中央値,2.3,2.5,事業期間中は少なくとも物価上昇率程度（資料例3.2%）,最新物価率を上回る水準。現時点の作業仮説は3.5～4.0%以上,4.0%以上を毎年継続できる資金計画,足下の全社的な還元姿勢を示す,第5次中央値は第6次の競争水準に使わない。申請直前の最新物価率で更新する。
4,補助事業売上高／全社売上高,%,平均値,80,89,なし,中核事業なら89%前後を参考,数値を最大化せず、全社ポートフォリオ上の必然性を説明,投資が会社変革の中心であることを示す,既存事業が大きい企業には不利な構造。比率を作為的に上げない。
5,補助事業の年平均売上高成長率,%/年,中央値,22,22,なし,22%以上,25%以上（顧客別数量で裏付け）,投資対象事業そのものの成長速度を示す,採択・申請者中央値が同じで単独の判別力は弱い。
6,補助事業の売上高増加額,億円,中央値,57.4,74.8,なし,74.8以上,90以上,設備投資と直接つながる絶対効果を示す,顧客×単価×数量、能力×稼働率の二方向から照合する。
7,補助事業の労働生産性年平均成長率,%/年,中央値,21,21,なし,21%以上,25%以上,賃上げ原資を生む生産性向上を示す,採択・申請者中央値が同じ。付加価値額、人数、給与の整合を優先する。
8,補助事業の付加価値増加額,億円,中央値,19.9,28.1,なし,28.1以上,35以上,売上ではなく利益・給与・減価償却を含む経済価値を示す,様式2の補助事業P/Lから作る。公開PDFの人数×1人給与はproxyに限定する。
9,補助事業従業員1人当たり給与支給額の年平均成長率,%/年,中央値,6.5,7.0,一般5.0%以上／100億宣言企業4.5%以上,7.0%以上,7.5～8.0%以上（返還リスクに耐える場合）,法定要件を超えた人への還元を示す,未達は返還につながり得る。楽観売上ではなく固定費耐性から逆算する。
10,補助事業従業員給与支給総額の増加額,億円,中央値,2.8,3.9,なし,3.9以上,5.0以上,賃上げ率と雇用増を合わせた地域所得効果を示す,様式2の補助事業P/L給与総額を使用。全社給与総額ではない。
11,投資額／全社売上高,%,中央値,64,61,一般20億円／100億宣言企業15億円の投資額要件,50～70%を文脈確認用に使う,最大化しない,会社規模に対する投資の大胆さと財務負担を確認する,採択者中央値の方が低い。高比率自体は有利とは読めない。
12,付加価値増加額／補助金額,%,中央値,171,213,なし,213%以上,250%以上,税金1円当たりの付加価値効果を示す中心KPI,分子を過大計上しない。1/4補助を選べる場合は比率も改善する。
13,ローカルベンチマーク財務分析結果,点,中央値,23,23,なし,23以上を健全性確認の目安,点数より融資・出資の実行確度を高める,申請企業の財務健全性を確認する,採択・申請者中央値が同じ。単独の差別化指標ではない。
