"stable_rank","case_id","round","company","industry","is_clean","quality_note","observed_n","below_applicant_n","below_applicant_share","pdf_url","local_pdf","A_score","A_evidence","A_source_page_role","B_score","B_evidence","B_source_page_role","C_score","C_evidence","C_source_page_role","D_score","D_evidence","D_source_page_role","E_score","E_evidence","E_source_page_role","F_score","F_evidence","F_source_page_role","G_score","G_evidence","G_source_page_role","H_score","H_evidence","H_source_page_role","I_score","I_evidence","I_source_page_role","dominant_archetype","primary_legacy_criteria","fact_summary","inference_summary","inference_confidence"
"16","s2_outline_19","3次","株式会社高木製作所","製造業","false","RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS","5","3","0.600000","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_19.pdf","local_assets/pdfs/s2_outline_19.pdf","3","トヨタ自動車の物流効率化要望と既存主要取引先からの増産要請を明記。EV・HV向け締結部品需要の増加も記載するが、受注数量は非開示。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","点在工程と人手依存を解消し、材料投入から出荷までを一貫自動化する必要を示す。現在能力の数量上限は非開示。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","多品種小ロットの一貫完全自動生産、金型設計DX、設計作業の内製化により部品供給者からシステムサプライヤーへの転換を掲げる。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","国内自動車産業の電動化・物流問題・サプライヤー競争力に接続するが、地域での代替困難性や供給シェアは示さない。","p.1 長期成長ビジョン","2","新工場・自動倉庫・AGV・加工設備を特定し、金型自動加工ライン等は自己資金導入予定とする。用地・許認可・発注状況は不明。","p.2 補助事業の概要","2","補助対象外を含む自己資金導入予定を明記するが、資金調達計画や金融機関の関与は公開範囲にない。","p.2 補助事業の概要","3","未経験者・女性・シニアに配慮した省力環境、賃上げ年率6.3%/7.0%、2社合計で従業員193人から199人を示す。","p.2 補助事業の概要","3","EV対応、物流2024年問題、DX・AI、省人化、安全性向上を一体で説明する。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","自動化・EV対応は他の採択案件にも広く見られ、増産要請の数量、契約、資金計画は公開されない。主体・率定義にも品質注意がある。","p.1-2 全公開ページ（不記載確認）","事業転換・垂直統合","①経営力／②先進性・成長性／⑤実現可能性","トヨタ自動車の要望、主要取引先の増産要請、一貫自動工場、自己資金導入予定が公開PDFに記載される。","推論: 定量指標が申請者代表値を多く下回っても、顧客接続のある自動車供給網案件と非連続な工程転換が評価材料になり得た。ただし審査上の決め手は確認できない。","Medium"
"17","s2_outline_192","4次","フクビ岡山株式会社","製造業","false","COST_TEXT_NUMERIC_MISMATCH","7","5","0.714286","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_192.pdf","local_assets/pdfs/s2_outline_192.pdf","2","2025年4月の省エネ基準適合義務化による高性能断熱材需要の拡大を示す。実名顧客、受注数量、契約は示さない。","p.1 長期成長ビジョン","2","現在の生産能力の限界を明記し、第2生産拠点で需要変化へ対応するとするが、現状能力と不足量の数値はない。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","独自製法を用いる第2拠点で原料配合から梱包出荷までを集約し、非住宅・未開拓市場へ展開する。既存事業の拡張性が中心。","p.2 補助事業の概要","2","高性能断熱材の安定供給、地域協定のカーボンフリー、環境先進モデル工場を掲げるが、地域での代替困難性は定量化しない。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","工場建設・生産装置・省人設備の金額と独自製法を示す。用地、許認可、見積、発注、融資の記載はない。","p.2 補助事業の概要","0","グループ戦略との連携は示すが、自己負担資金、借入、金融機関支援を確認できない。","p.1-2 全公開ページ（不記載確認）","3","従業員40人から60人、1人当たり給与年率6.2%、搬送ロボットと換気空調による負荷軽減を示す。","p.2 補助事業の概要","3","建築物省エネ、カーボンフリー、グリーンエネルギー、省人化という政策課題に直接対応する。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","需要根拠は制度変更と市場一般で、個別顧客証拠がない。事業費本文と数値の不一致フラグもあるため、極端な定量劣後の解釈には注意を要する。","p.1-2 全公開ページ（不記載確認）","需要確約・能力制約","②先進性・成長性／③地域への波及／⑤実現可能性","省エネ基準義務化、現有能力の限界、第2生産拠点、40人から60人への雇用増が記載される。","推論: 規制により見通しやすい需要と供給能力増強の組合せが、公開指標以外の評価材料になり得た。ただし顧客別需要と資金裏付けは公開されない。","Medium"
"18","s2_outline_194","4次","リバードコーポレーション株式会社","製造業","true","","7","5","0.714286","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_194.pdf","local_assets/pdfs/s2_outline_194.pdf","2","ペットフード市場年率2.9%と自社の過去年率23.3%を示す。顧客名、内示、受注数量は示さない。","p.1 長期成長ビジョン","3","既存設備は15バッチ/日が上限に近く、22バッチ/日へ増強し、包装工程をボトルネックと特定する。","p.2 補助事業の概要","3","企画・開発・製造・販売をつなぐDtoCバリューチェーンへ再構築し、新カテゴリ製品と適時配荷を統合する。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","地域未来牽引企業、鳥取での雇用、地方発の商品開発を示すが、地域供給網での不可欠性は限定的。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","隣接増築、設備の台数、15から22バッチ/日、包装自動化、8名分工数削減を具体化し、2020年工場新築後の成長実績も示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","1","既存工場建設後の高成長実績はあるが、本投資の自己負担資金・借入・金融機関支援は記載されない。","p.1-2 全公開ページ","3","8名分の工数削減、新製品ライン20名新規雇用、従業員120人から135人、給与年率7.3%を示す。","p.2 補助事業の概要","3","地域雇用、省人化・DX、健康志向商品、低在庫・適時配荷、食品ロス抑制につながる計画である。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","市場成長と健康志向は一般的で、顧客契約や受注内示を欠く。垂直統合・自動化自体も他の採択案件に多い。","p.1-2 全公開ページ（不記載確認）","事業転換・垂直統合","①経営力／②先進性・成長性／⑤実現可能性","15から22バッチ/日への増強、包装ボトルネック、設備台数、20名新規雇用、DtoC一貫モデルが明示される。","推論: 公開定量値の弱さに対して、測定可能な能力制約と垂直統合型の事業転換が比較的強い説明候補である。採択因果を示すものではない。","High"
"19","s2_outline_195","4次","株式会社レクザム","製造業","false","RATE_DEFINITION_AMBIGUOUS","6","5","0.833333","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_195.pdf","local_assets/pdfs/s2_outline_195.pdf","1","インド・北米の空調需要や自動車部品需要を挙げるが、顧客名、受注、需要数量はない。","p.1 長期成長ビジョン","1","人手不足とコスト増への対応は示すが、既存ラインの能力上限や失注量は示さない。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","西条工場を電子回路実装基板の自動生産モデル工場へ変えるが、既存製品の工程自動化・増産が中心である。","p.1 長期成長ビジョン; p.2 補助事業の概要","1","地域雇用や半導体・自動車供給への貢献を述べるが、供給シェアや地域の代替困難性は示さない。","p.1 長期成長ビジョン","2","対象工場・建屋、SMTライン、自動倉庫、後工程設備は特定される。用地、許認可、見積、契約、導入工程は不明。","p.2 補助事業の概要","2","株主配当・役員報酬をゼロとして財務強化と拡大生産を続ける方針を明記するが、本件の資金調達計画はない。","p.1 長期成長ビジョン","2","従業員102人から108人、給与年率6.2%を示すが、職種・採用時期・育成は公開されない。","p.2 補助事業の概要","2","半導体戦略、グリーンファクトリー、自動化、省人化に整合する。波及効果の数量化は限定的。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","事業領域が広く、当該投資に結び付く顧客証拠・能力不足・資金計画が弱い。率定義にも品質注意があり、公開資料だけでは補完説明が不足する。","p.1-2 全公開ページ（不記載確認）","その他","①経営力／②先進性・成長性","自動倉庫、SMT、後工程の自動化と財務強化方針は記載されるが、顧客需要と現有能力差は定量化されない。","推論: 自動生産モデル工場と幅広い戦略適合は評価候補だが、申請者代表値を大幅に下回る理由を公開情報だけで説明する力は弱い。","Low"
"20","s2_outline_205","3次","八戸酒造株式会社","製造業","false","RATE_DEFINITION_AMBIGUOUS","8","5","0.625000","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_205.pdf","local_assets/pdfs/s2_outline_205.pdf","2","外国人蔵見学客1.5万人、海外日本食店と清酒輸出額の増加を示す。顧客契約や商品別受注量はない。","p.1 長期成長ビジョン","3","火入れ400本/時を1200本/時へ増強し、分散冷蔵、製造・観光動線の競合を具体的なボトルネックとして示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","製造を新工場へ移し、重要文化財の旧蔵を観光拠点化することで、酒造と観光を分離・再統合する。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","1775年由来の酒蔵、青森県産米・酵母、観光客、地域文化・農業を結び付け、八戸観光の核を担う計画を示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","八戸市との土地購入合意、20,357㎡、取得額、火入れ能力、既存設備移設による費用抑制を明記する。","p.2 補助事業の概要","2","土地購入合意と既存設備移設による必要最小限化は示すが、借入・自己資金・金融機関支援は不明。","p.2 補助事業の概要","3","従業員36人から42人、給与年率10.0%、品質向上人材の積極採用と利益の給与還元を示す。","p.2 補助事業の概要","3","地域観光、文化継承、輸出、地元農業、雇用、既存文化財活用を一つの事業に接続する。","p.1 長期成長ビジョン; p.2 補助事業の概要","1","輸出需要は市場統計中心で顧客別証拠はないが、能力・土地・観光実績は案件固有で反証は比較的弱い。率定義には品質注意がある。","p.1-2 全公開ページ","供給網・地域インフラ","①経営力／③地域への波及／⑤実現可能性","1.5万人の蔵見学、火入れ能力3倍、八戸市との土地購入合意、旧蔵の観光転用が明示される。","推論: 酒造能力増強だけでなく、文化財・観光・農業を結ぶ地域拠点化が、公開定量値以外の強い評価候補になり得た。","High"
"21","s2_outline_210","4次","南島酒販株式会社","卸売業・小売業","true","","8","6","0.750000","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_210.pdf","local_assets/pdfs/s2_outline_210.pdf","1","観光回復、インバウンド、日本酒輸出、地産地消志向を挙げるが、顧客名、注文、需要数量はない。","p.1 長期成長ビジョン","1","取得した日本酒製造事業の量産体制整備を必要とするが、既存能力、失注、工程ボトルネックは示さない。","p.2 補助事業の概要","3","酒類卸から、取得した日本酒製造事業を基盤に石垣島で製造・ブランド化する高付加価値事業へ進出する。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","沖縄唯一・日本最南端の日本酒、沖縄産米、観光、製造業空洞化、地域雇用を明確に結び付ける。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","製造事業を既に取得し、酒蔵建屋約5億円、製造設備約6.5億円を特定する。用地・許認可・見積・発注は不明。","p.2 補助事業の概要","1","事業取得済みであることは準備の間接証拠だが、自己負担資金・融資・金融機関支援は示されない。","p.2 補助事業の概要","3","従業員114人から128人、給与年率6.5%、沖縄の地場製造業での雇用創出を示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","地産地消、製造業維持、観光消費、県産ブランド、地域雇用という政策波及を示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","主要需要は一般的な観光・輸出トレンドで、顧客・販売契約、酒造免許、操業用地、資金計画が公開されない。","p.1-2 全公開ページ（不記載確認）","事業転換・垂直統合","①経営力／③地域への波及","卸売から製造へ進出し、沖縄唯一・日本最南端の日本酒蔵を構築する計画と14人の雇用増を示す。","推論: 地域製造業の空白を埋める事業転換は明確だが、需要確度と実行準備の公開証拠が弱く、採択説明としては中程度である。","Medium"
"22","s2_outline_218","4次","株式会社エム・ケー・ケー","宿泊業・飲食サービス業","true","","8","5","0.625000","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_218.pdf","local_assets/pdfs/s2_outline_218.pdf","2","Marriott MoxyとBonvoy会員世界2.28億人・国内430万人を需要基盤として示す。宿泊予約、稼働率、確約室数はない。","p.3-4 補助事業の概要","0","本件は既存能力不足の解消ではなく、閉店百貨店の用途転換である。ホテル供給不足や既存客室の上限は示さない。","p.1-4 全公開ページ","3","旧百貨店を250室のMoxyホテル・複合拠点へ転換し、ホテル事業を全社成長の主力に据える。","p.1 長期成長ビジョン; p.3 補助事業の概要","3","大型商業施設が相次いで閉店した松本駅前の再生、若年雇用、観光回遊、地域事業者への波及を中心目的とする。","p.1 長期成長ビジョン; p.3 補助事業の概要","3","対象建物・土地取得、250室への用途変更、Marriottフランチャイズ、既存148室ホテルの運営実績を示す。","p.1-3 長期成長ビジョン／補助事業の概要","2","所有ビルが満室で年間約1.3億円の賃料収入、既存ホテル運営実績を示すが、本件の融資・自己資金計画はない。","p.1-2 長期成長ビジョン","3","従業員20人から46人、給与年率7.1%、若年層の雇用と地域定着を掲げる。","p.1 長期成長ビジョン; p.3 補助事業の概要","3","中心市街地再生、インバウンド、地域雇用、地元企業連携、観光回遊の波及を具体化する。","p.1 長期成長ビジョン; p.3-4 補助事業の概要","3","地下テナントは複数候補と交渉中で未確定と明記する。Bonvoy会員数は当該ホテルの予約確約ではなく、稼働率・客室単価の裏付けも公開されない。","p.2 長期成長ビジョン; p.4 補助事業の概要","供給網・地域インフラ","①経営力／③地域への波及／⑤実現可能性","土地建物取得、Marriottブランド、既存ホテル運営、250室への転換、松本中心部の連続閉店が明示される。","推論: 定量指標の弱さを、中心市街地再生という地域課題と高い実行準備が補う構図は明瞭。ただし需要計画には未確定部分が残る。","Medium"
"23","s2_outline_221","4次","株式会社ニシムタ","卸売業・小売業","true","","9","7","0.777778","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_221.pdf","local_assets/pdfs/s2_outline_221.pdf","3","自社惣菜売上が5年で1.28倍、全国市場が2014年比118.6%、14店舗分の能力と新設2店舗による稼働確保を示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","店舗内作業場が狭く製造品種が限定され、店舗別製造では食品ロス・ムダが生じると特定する。","p.1 長期成長ビジョン","3","小売業から食品製造業へ進出し、店舗厨房をセントラルキッチンへ集約して新商品・冷凍保管・広域展開を実現する。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","南九州の地域密着店舗網と地元物産を基盤とするが、地域供給上の代替困難性は示さない。","p.1 長期成長ビジョン","3","工場・2店舗の投資額、建物・設備・造成内訳、面積を示し、自社新店舗で工場稼働率を確保する計画である。","p.2 補助事業の概要","1","確立した店舗基盤と大規模投資内訳はあるが、自己負担資金・融資・金融機関支援の記載はない。","p.1-2 全公開ページ","3","従業員106人から116人、給与年率6.0%、店舗作業の集約と食品ロス削減を示す。","p.2 補助事業の概要","3","女性活躍・高齢化に伴う中食需要、HACCP、食品ロス、地域物産、雇用・賃上げに接続する。","p.1 長期成長ビジョン; p.2 補助事業の概要","1","需要は自社実績と自社店舗で一定程度検証可能だが、セントラルキッチン化自体は一般的で、外部顧客による検証はない。","p.1-2 全公開ページ","事業転換・垂直統合","①経営力／②先進性・成長性／⑤実現可能性","惣菜売上1.28倍、14店舗分能力、狭い店舗厨房、139.9億円の工場・店舗投資が示される。","推論: 自社内で観測できる需要と店舗網を使い、小売から製造へ転換するため、申請者代表値未満群でも公開情報による説明力が高い。","High"
"24","s2_outline_232","3次","株式会社モリシタ","卸売業・小売業","false","REPRESENTATIVE_ENTITY_AMBIGUOUS","6","4","0.666667","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_232.pdf","local_assets/pdfs/s2_outline_232.pdf","1","プレミアムペットフード市場の拡大と健康志向を述べるが、市場数量、顧客名、受注、販売実績は示さない。","p.1 長期成長ビジョン","2","外部委託では品質・柔軟性・個別設計に限界があるとするが、委託能力、納期、失注額は定量化しない。","p.1 長期成長ビジョン","3","卸売から企画・製造・販売を一貫するメーカーベンダーへ進化し、本社・工場・物流を統合する。","p.1 長期成長ビジョン; p.2 補助事業の概要","1","地域向け無料ドッグランと商品開発接点を設けるが、地域供給網上の不可欠性は弱い。","p.2 補助事業の概要","2","3階建て施設の機能配置、物流・製造工程、商品モニター活用を示す。用地、許認可、見積、発注は不明。","p.2 補助事業の概要","0","自己負担資金、借入、保有資産、金融機関支援を確認できない。","p.1-2 全公開ページ（不記載確認）","3","2社で従業員29人から38人、給与年率6.0%、製造・物流間の柔軟配置を示す。","p.2 補助事業の概要","2","健康志向、個別設計、物流効率、地域の顧客参加型商品開発に接続するが、政策波及の規模は限定的。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","市場・需要の記載が一般的で顧客証拠がなく、資金・用地・許認可も公開されない。コンソーシアム主体の曖昧さにも品質注意がある。","p.1-2 全公開ページ（不記載確認）","事業転換・垂直統合","①経営力／②先進性・成長性","外部委託から自社製造へ移り、本社・工場・物流を一拠点へ集約する計画と9人の雇用増を示す。","推論: 垂直統合の転換幅は大きいが、需要確度・資金・実行準備の公開証拠が薄く、採択説明としては限定的である。","Medium"
"25","s2_outline_24","3次","高知食糧株式会社","卸売業・小売業","false","RATE_DEFINITION_AMBIGUOUS","8","6","0.750000","https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_24.pdf","local_assets/pdfs/s2_outline_24.pdf","2","グループスーパーや量販店からの受注増と需要未対応を示す。実名顧客、注文数量、契約はない。","p.1 長期成長ビジョン","3","精米工場・物流センターが能力限界で、残業・夜間交代による人手フル稼働とし、新工場で能力2.6倍を計画する。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","精米・倉庫・配送をFAで統合し、追加投資でパックごはん新事業へ進む。中核は既存流通基盤の高度化。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","高知の食料供給、地産地消、農家・量販店の川上川下、県外資本との競争、物流ハンデを一体で説明する。","p.1 長期成長ビジョン","2","本社隣接地、工場・倉庫・配送の再構築、投資額、FAシステム、追加投資を示す。許認可・発注・資金調達は不明。","p.2 補助事業の概要","1","収益拡大は述べるが、自己負担資金、借入、金融機関支援は示されない。","p.2 補助事業の概要","3","過酷作業を高付加価値業務へ転換し、従業員330人から336人、給与年率6.1%を示す。","p.1 長期成長ビジョン; p.2 補助事業の概要","3","食料安定供給、地産地消、農業者支援、物流効率、人手不足、賃上げを地域波及として接続する。","p.1 長期成長ビジョン; p.2 補助事業の概要","2","増加受注は実名・数量を欠き、自動化・地産地消は他案件にも見られる。率定義の品質注意もある。","p.1-2 全公開ページ（不記載確認）","供給網・地域インフラ","②先進性・成長性／③地域への波及／⑤実現可能性","精米・物流の能力限界、夜間を含むフル稼働、2.6倍能力、地元川上川下との供給網が記載される。","推論: 定量指標の低さに対し、地域食料インフラの能力制約と自動化の必要性が強い説明候補となる。因果的な採択理由は確認できない。","High"
