pair_id,round,industry,pair_role,company,quantitative_score,project_cost_oku,subsidy_oku,demand,constraint,transformation,regional,execution,strategic,qualitative_total,core_strong_count,strong_factors,evidence,coding_confidence,analysis_exclusion_recommended,pdf_url
L01,1次,製造業,公開定量スコア低位,株式会社くまさんメディクス,0.586,27,8.6,2,2,1,1,3,3,12,2,需要根拠の具体性 / 能力制約の明確さ / 実行確度 / 政策・戦略分野との整合,半導体メーカーの複数年増産要請、AI/HBM向けクリーンルーム、約2万㎡の用地と150人規模工場,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_21.pdf
L01,1次,製造業,公開定量スコア高位,テラル株式会社,0.709,27,8.6,1,2,3,1,3,2,12,2,能力制約の明確さ / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,6倉庫の集約、工場・R&D・ERPの一体整備、用地契約済み,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_38.pdf
L02,1次,製造業,公開定量スコア低位,BBSジャパン株式会社,0.518,48,16,2,3,2,2,2,1,12,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度,海外・高級車向け鍛造ホイール需要、能力1.2～1.5倍、富山の生産集積,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_22.pdf
L02,1次,製造業,公開定量スコア高位,菅野包装資材株式会社,0.606,48,16,3,3,3,2,3,3,17,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,OEM増産要請と引合い、既存9ラインの能力限界、GX型工程転換、用地・FSSC,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_138.pdf
L03,1次,製造業,公開定量スコア低位,広陵化学工業株式会社,0.301,17,5.3,3,2,3,2,2,3,15,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,医療向け受注増、国産オリジナル医療機器、国内供給と経済安全保障,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_28.pdf
L03,1次,製造業,公開定量スコア高位,株式会社スギノマシン,0.604,17,5.6,1,1,3,1,2,2,10,1,事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,ERP・PLMによるデータ駆動経営、半導体・航空宇宙への展開,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_155.pdf
L04,1次,製造業,公開定量スコア低位,大峰堂薬品工業株式会社,0.45,113,36,2,3,2,1,1,2,11,3,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 政策・戦略分野との整合,漢方OEMの能力逼迫、需要増に対する自動化投資,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
L04,1次,製造業,公開定量スコア高位,トーカロ株式会社,0.634,112,34,3,2,1,1,3,3,13,2,需要根拠の具体性 / 能力制約の明確さ / 実行確度 / 政策・戦略分野との整合,主要半導体装置メーカーの需要、隣接用地取得、新工場・R&D整備,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_87.pdf
L05,1次,製造業,公開定量スコア低位,小林酒造株式会社,0.37,12.6,4.2,1,2,3,3,3,1,13,3,能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度,国産ウイスキー・輸出・観光の複合化、用地取得、地域原料調達,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_130.pdf
L05,1次,製造業,公開定量スコア高位,株式会社ミラプロ,0.652,13,4.4,2,1,3,1,3,3,13,2,需要根拠の具体性 / 事業・工程の構造転換 / 実行確度 / 政策・戦略分野との整合,PLM/SCM/ERP導入、半導体上位顧客、製造から設計・サービスへの転換,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
L06,1次,サービス業_他に分類されないもの,公開定量スコア低位,株式会社ダイセイ,0.366,12,4,2,3,3,3,1,1,13,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性,物流サービス統合、倉庫・人手制約、災害対応を含む地域物流基盤,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_156.pdf
L06,1次,サービス業_他に分類されないもの,公開定量スコア高位,株式会社ただおザウルス,0.554,15,4.7,3,2,3,3,2,3,16,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度 / 政策・戦略分野との整合,素材メーカーとの連携・受入要請、資源循環施設、地域の代替困難性,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_128.pdf
L07,1次,卸売業・小売業,公開定量スコア低位,株式会社ユニワールド,0.438,17,5.7,2,3,2,3,2,1,13,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 実行確度,物流能力の限界、保管能力2倍、地域雇用の維持,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
L07,1次,卸売業・小売業,公開定量スコア高位,株式会社浜屋,0.58,15,4.3,3,2,2,2,1,3,13,4,需要根拠の具体性 / 能力制約の明確さ / 事業・工程の構造転換 / 地域供給網・代替困難性 / 政策・戦略分野との整合,事業提携先からの要請、リユース・資源循環需要,high,False,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_129.pdf
