sort_index,case_id,round,company,is_clean,quality_note,observed_n,below_applicant_n,below_applicant_share,A_score,A_evidence,A_page,A_role,B_score,B_evidence,B_page,B_role,C_score,C_evidence,C_page,C_role,D_score,D_evidence,D_page,D_role,E_score,E_evidence,E_page,E_role,F_score,F_evidence,F_page,F_role,G_score,G_evidence,G_page,G_role,H_score,H_evidence,H_page,H_role,I_score,I_evidence,I_page,I_role,dominant_archetype,primary_old_round_criterion,archetype_basis,fact_summary,inference_summary,inference_confidence,pdf_url
1,s1_outline_50,1次,株式会社松尾製作所,True,,8,5,0.6250,2,顧客から次世代電動車部品の引き合いがあり、59品番の量産工程を計画。,2,補助事業の概要,2,組付けは従来品の2倍以上の部品・約3倍のステップを要し、ネック工程の高速化・冗長化が必要。,2,補助事業の概要,2,汎用部品から高付加価値の次世代電動車部品へ比重を移し、専用自動化工程を新設。,1-2,長期成長ビジョン／補助事業の概要,1,国内自動車産業や地域雇用への寄与は示すが、当社固有の供給代替困難性は明示されない。,1,長期成長ビジョン,2,59品番ごとの専用ライン、AI検査、レーザー溶接等を具体化。用地・許認可・見積の記載はない。,2,補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,2,"賃金年平均3.0％、補助事業従業員1,390人から1,401人を計画し、省人化と働きやすさを両立。",1-2,長期成長ビジョン／補助事業の概要,2,電動化・カーボンニュートラルと国内自動車産業への寄与を明示。,1,長期成長ビジョン,2,顧客名・受注量は非開示で、電動化・自動化・人手不足は他の採択案件にも頻出する。,1-2,公開概要全体,需要確約・能力制約,②先進性・成長性,59品番の引き合いと複雑工程の解消が公開資料で最も具体的な強み,引き合い、59品番、複雑工程と設備構成は公開資料上の事実。,公開定量指標が弱くても、品番単位の需要と製造課題を一対一で結び付けた実装具体性が評価候補。ただし採択理由の確定ではない。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_50.pdf
2,s1_outline_63,1次,株式会社オティックスホールディングス,True,,8,5,0.6250,3,受注済みの電動車部品を量産すると明記し、電動車部品売上を82億円から181億円、将来600億円へ拡大する計画。,1-2,長期成長ビジョン／補助事業の概要,2,生産量急拡大と三河地域の採用難に対応する自動化・省力化が必要だが、現行能力の数値上限は非開示。,1-2,長期成長ビジョン／補助事業の概要,3,エンジン部品メーカーから電動車・モビリティ部品メーカーへ事業の中核を転換。,1-2,長期成長ビジョン／補助事業の概要,2,日本の自動車産業を支える供給基盤と、モデル工場のグループ展開を示す。地域での代替困難性の数量根拠はない。,1-2,長期成長ビジョン／補助事業の概要,3,第1工場を自己資金で完成済み。第2工場の建設、ダイカスト・加工・研究設備まで具体化。,2,補助事業の概要,2,第1工場を自己資金で完成した実績はあるが、第2工場の資金調達構成や返済余力は非開示。,2,補助事業の概要,2,省力化、重量物搬送自動化、女性・高齢者が働きやすい工場と賃金上昇目標を提示。,2,補助事業の概要,2,電動化・脱炭素と国内自動車サプライチェーン維持への適合を示す。,1,長期成長ビジョン,1,受注済み、自己資金による先行工場という個別性は強いが、非採択案件との比較資料はない。,1-2,公開概要全体,事業転換・垂直統合,①経営力,エンジン部品から電動車部品への主力転換と先行自己投資が中核,受注済み案件、売上転換目標、自己資金での先行工場完成は公開資料上の事実。,見える指標の不足を、受注済み需要、先行投資実績、主力事業転換の一貫性が補った可能性が高い。ただし審査得点は不明。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf
3,s1_outline_77,1次,千寿製薬株式会社,True,,5,3,0.6000,3,"現有能力7,000万本に対し、新薬を含む需要を2027年度7,500万本、2031年度1億本超と予測。",2,補助事業の概要,3,"2027年度に需要が現有7,000万本能力を超えるため、3,500万本の追加能力が必要と数量で示す。",2,補助事業の概要,2,既存点眼薬事業のライン増設だが、新薬供給と冗長化を同時に実現し開発余力を作る。,2,補助事業の概要,2,新薬を含む製品の安定供給と有事・保守時の冗長性を示すが、地域固有の不可欠性は弱い。,2,補助事業の概要,3,既存唐津工場に同種ラインを増設し、能力・建物費・機械装置費・ソフトウェア費まで具体化。,2,補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,2,従業員給与年平均7.89％、補助事業従業員109人から117人を計画。,2,補助事業の概要,2,医薬品の安定供給、新薬開発加速、有事の供給継続という社会的便益を明示。,2,補助事業の概要,1,能力と需要の差は具体的だが、需要値は社内販売予測で顧客契約・公的需要の裏付けは示されない。,2,補助事業の概要,需要確約・能力制約,②先進性・成長性,現有能力と予測需要の差および追加能力が同一単位で示される,"能力7,000万本、需要7,500万本超、追加3,500万本という需給差は公開資料上の事実。",定量指標が申請者中央値を下回っても、明確な供給不足と医薬品安定供給を直結した計画が評価候補。ただし需要予測の外部検証はできない。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_77.pdf
4,s1_outline__179,2次,アサヒセイレン中部株式会社,False,RATE_DEFINITION_AMBIGUOUS,7,5,0.7143,2,"国内アルミ需要を2019年4,218千tから2050年6,020千t、輸送用を1,700千tから2,900千tと提示。",1,長期成長ビジョン,2,需要地で環境配慮型製品、スクラップ選別、ドロス処理の能力増強が必要とするが、現行能力・不足量は非開示。,2,補助事業の概要,2,総合リサイクル事業を基盤に、環境配慮型合金小型塊、選別・ドロス処理まで機能を拡張。,1-2,長期成長ビジョン／補助事業の概要,3,国内で稀有なアルミ総合リサイクルメーカーとして、自動車・圧延メーカー間の循環供給ハブを担うと説明。,1,長期成長ビジョン,2,溶解・選別・分析・自動梱包まで設備を列挙し、発生元・使用先に近い立地方針を示す。用地等は非開示。,2,補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,2,2社で賃金年平均3.33％、従業員59人から78人・17人から20人を計画し、国内雇用維持を掲げる。,1-2,長期成長ビジョン／補助事業の概要,3,リサイクル材循環率10％程度から50％、自動車の脱炭素、国内資源循環を結び付ける。,1,長期成長ビジョン,2,需要は市場予測で顧客名・注文量がなく、脱炭素・供給網強靱化は採択案件で一般的。率定義にも品質注意あり。,1-2,公開概要全体,供給網・地域インフラ,③地域への波及,国内アルミ循環のハブ機能と需要地近接立地が主要な説明候補,市場需要値、設備群、雇用目標は事実だが、率定義には分析上の注意がある。,国内循環供給の希少な位置づけと設備の網羅性が評価候補。ただし需要確度と財務実行性は公開資料だけでは判定できない。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf
5,s1_outline__181,2次,株式会社ホテルニューアワジ,True,,8,5,0.6250,2,島内外国人宿泊比率1.0％、将来の関西圏流入見込み、客室単価・室数・稼働率90％による売上を提示。,1;6,長期成長ビジョン／補助事業の概要,1,島内に外国人特化施設が不足する課題は示すが、自社既存施設の物理的能力上限としては示されない。,1,長期成長ビジョン,3,国内客中心の宿泊から、2都市・2価格帯で長期滞在する外国人向けリゾートへ運営モデルを転換。,1;6,長期成長ビジョン／補助事業の概要,3,自治体、農漁業者、観光協会等と食・移動・滞在を面的に構築し、島内観光GDP766億円を掲げる。,1;4-6,長期成長ビジョン／補助事業の概要,3,地域未来牽引企業等の認証、官民実証、既存セントラルキッチン、具体的平面・運営設計を提示。,3-9,長期成長ビジョン／補助事業の概要,1,計画以上の営業利益と継続投資実績を記すが、自己負担原資や借入条件は非開示。,1,長期成長ビジョン,3,賃金年4.5％、正社員・パート賞与、語学を生かす職場、従業員126人から147人・77人から115人を示す。,1;6,長期成長ビジョン／補助事業の概要,3,観光立国、島の食産業、自治体戦略、UIJターン、長期滞在による地域消費を一体化。,1;4-6,長期成長ビジョン／補助事業の概要,1,認証・官民連携・既存実績の個別性は強いが、外国人需要は予測であり非採択案件との比較はない。,1-9,公開概要全体,供給網・地域インフラ,③地域への波及,島内の食・観光・交通・雇用を面的に接続する地域プラットフォーム性が中核,認証、官民プロジェクト、既存収益実績、客室数と売上式は公開資料上の事実。,公開定量の弱さを、地域全体を巻き込む実行基盤と既存運営資産が補った可能性。ただし因果的な採択理由ではない。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf
6,s1_outline__196,2次,株式会社八立製作所,True,,8,8,1.0000,3,コマツ大阪工場ブラケット部門で約8割のシェアを持ち、取引先需要への対応を掲げる。,1-2,長期成長ビジョン／補助事業の概要,2,工程分散による段取り非効率と各工程の低生産性を、新工場と一貫設備で解消。能力不足量は非開示。,2,補助事業の概要,1,既存ブラケット事業の工場集約・自動化であり、事業領域そのものの転換は小さい。,1-2,長期成長ビジョン／補助事業の概要,3,主要工場向け約8割シェアを持つ国内サプライヤーとして、海外流出を避け国内供給網を維持。,1,長期成長ビジョン,2,新工場と粉体塗装、レーザー加工等7設備を特定。用地、許認可、見積の記載はない。,2,補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,2,賃金年平均4.0％、補助事業従業員79人から89人を計画し、物価高下の給与改善を掲げる。,1-2,長期成長ビジョン／補助事業の概要,2,建設業の人手不足・省エネ建機、国内サプライチェーン維持と賃上げを結び付ける。,1,長期成長ビジョン,1,約8割シェアという固有根拠は強い一方、発注数量・契約や非採択案件との比較は公開されない。,1-2,公開概要全体,供給網・地域インフラ,③地域への波及,主要顧客工場向け約8割シェアと国内供給網維持が最も固有な説明候補,8観測指標すべてが申請者中央値未満で、約8割シェアと設備内容は公開資料上の事実。,公開定量で最も説明しにくい例だが、高い既存供給シェアと国内代替困難性が評価候補。審査点なしでは確定できない。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__196.pdf
7,s2_outline_115,4次,株式会社コスモス食品,True,,8,6,0.7500,1,海外RTE食品市場の伸長を掲げるが、顧客名、受注量、市場規模の数量根拠はない。,1-2,長期成長ビジョン／補助事業の概要,2,既存設備の製造量限界を示し、真空凍結乾燥機で製造能力40％増を計画。,2,補助事業の概要,2,自社ブランド・RTE・海外認証・直販を組み合わせ、受託中心から市場接点を広げる。,1-2,長期成長ビジョン／補助事業の概要,2,地域食材、地域雇用、直販施設を掲げるが、地域供給での占有率や代替困難性は示されない。,1-2,長期成長ビジョン／補助事業の概要,2,倉庫、凍結乾燥機、搬送、検査、生産管理を具体化する一方、様式のXX・修正注記が残る。,1-2,長期成長ビジョン／補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,2,賃金年平均9.1％、従業員159人から164人、搬送負荷と目視検査の軽減を計画。,2,補助事業の概要,2,フードロス、持続可能な農業、CO2冷媒、地域食材、海外展開を掲げる。,1-2,長期成長ビジョン／補助事業の概要,3,顧客・受注根拠がなく、公開スライドにXXや修正メモが残るため、記載の完成度自体が反証になる。,1-2,公開概要全体,需要確約・能力制約,②先進性・成長性,製造能力限界と40％増強が他の記載より具体的,能力40％増、賃上げ9.1％、設備内容は事実。需要説明と資料完成度は弱い。,能力制約と省力化の具体性が評価候補だが、29件固有の強さを示す証拠は乏しく、推論確度は限定的。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_115.pdf
8,s2_outline_116,4次,奥伊吹観光株式会社,True,,7,5,0.7143,2,"年間来場者25万人、9割が日帰り、現状客単価7,500円を基礎に、客室・単価・季節稼働率を数量化。",1-3,長期成長ビジョン／補助事業の概要,3,"宿泊施設を保有せず、日帰り客のみで単価が7,500円に頭打ちという能力制約を明示。",1,長期成長ビジョン,3,日帰りスキー場から通年の滞在型総合リゾートへ転換し、モデル完成後の全国展開・M&Aも構想。,1-2,長期成長ビジョン／補助事業の概要,2,湖北の宿泊施設不足と地域DMO・自治体連携を示すが、地域全体の供給不足量は非開示。,1-2,長期成長ビジョン／補助事業の概要,3,"50室・118名、冬夏の稼働率、既存イベント500人から8,000人、既存グランピング人員転用まで具体化。",2-3,補助事業の概要,1,既存施設運営実績はあるが、自己負担原資や借入条件の記載はない。,1-3,公開概要全体,2,賃金年平均7.1％、従業員50人から56人、運営30人・繁忙期50人、通年雇用を計画。,2,補助事業の概要,3,インバウンド、日帰り偏重の地域消費、季節雇用を通年化する地域観光モデルを提示。,1-3,公開概要全体,1,実績来場者と運営仮定は具体的だが、宿泊需要は予約・契約ではなく予測で、非採択比較もない。,1-3,公開概要全体,事業転換・垂直統合,①経営力,日帰りスキー場から通年滞在型リゾートへの収益モデル転換が中核,来場実績、宿泊機能ゼロ、客単価、室数・稼働率は公開資料上の事実。,既存集客を宿泊消費へ転換する因果鎖と実行設計が、低い公開指標を補う評価候補。ただし需要予測の外部検証は未了。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf
9,s2_outline_121,4次,株式会社ヤマキ食品,True,,8,5,0.6250,2,同業撤退で需要が集中し、小ロット・短納期・PB需要が増えると説明するが、顧客名・数量は非開示。,1-2,長期成長ビジョン／補助事業の概要,2,既存工場では増加需要に対応できず、老朽・非効率工程が制約。現行処理能力は非開示。,2,補助事業の概要,2,新工場で多品種少量・PB・自動化へ移行し、契約農家との調達モデルを拡張。,1-2,長期成長ビジョン／補助事業の概要,3,契約農家、収穫機貸与、若手農家育成を通じ、地域農業と原料供給を一体化。,1-2,長期成長ビジョン／補助事業の概要,3,ISO22000、具体的工程設計に加え、3社の見積提案を価格・仕様で比較したと明記。,1-2,長期成長ビジョン／補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,2,賃金年平均6.5％、従業員105人から120人、地域雇用を計画。,2,補助事業の概要,3,農業担い手、フードロス、地域雇用、安定供給を具体的な農家連携に結び付ける。,1-2,公開概要全体,2,実行準備は具体的だが、需要・能力不足の数量や顧客契約がなく、類似の新工場案件にも現れる要素。,1-2,公開概要全体,供給網・地域インフラ,③地域への波及,契約農家・担い手育成・原料供給を製造能力と一体化する点が中核,3社見積、農家支援、ISO、雇用目標は公開資料上の事実。,顧客需要よりも、見積済みの実行準備と地域農業を含む事業系全体の整合性が評価候補。採択因果は不明。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_121.pdf
10,s2_outline_137,4次,株式会社　博多屋,False,RATE_DEFINITION_AMBIGUOUS,8,5,0.6250,2,"佐世保の宿泊者152.8万人、回復前184.5万人、市目標226万人と、ADR9,500円・98室を提示。",1-2,長期成長ビジョン／補助事業の概要,1,既存282室は運営するが、満室・取りこぼし等の能力制約は示さず、市場機会として説明。,1-2,長期成長ビジョン／補助事業の概要,2,既存ビジネスホテル群に和モダン大浴場付き新ブランドを加え、全国多店舗展開の起点とする。,1-2,長期成長ビジョン／補助事業の概要,3,佐世保駅前でハウステンボスと西海国立公園を結ぶハブを担い、観光団体の役職も明記。,1-2,長期成長ビジョン／補助事業の概要,3,自社所有の隣接地、98室、延床面積、2026年着工・2027年竣工、既存ホテル改修実績を提示。,1-2,長期成長ビジョン／補助事業の概要,2,健全経営、自社所有地、既存ホテル改修実績は示すが、自己負担原資・借入条件は非開示。,1-2,公開概要全体,3,賃金年平均7.0％、従業員57人から63人、後継者育成と省力化を明示。,1-2,長期成長ビジョン／補助事業の概要,3,観光高付加価値化、インバウンド、中心市街地の拠点形成を地域施策と結び付ける。,1-2,公開概要全体,2,来訪需要は公的目標・回復予測で予約根拠がなく、ホテル新設・地域ハブは他案件にもある。率定義に品質注意あり。,1-2,公開概要全体,実行準備・財務,⑤実現可能性,自社隣接地・確定した規模と工期・既存運営基盤が最も具体的,自社隣接地、工期、客室・ADR、地域団体役職は事実。率定義には分析上の注意がある。,所有地と既存運営基盤による実行確度、地域観光ハブの位置づけが評価候補。ただし需要の契約的裏付けはない。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_137.pdf
